"cd","twoway18","twoway16","fund_diff","open_seat","IE_diff","rscandal_ai","dscandal_ai","total_funding","r_incumbent_running","d_incumbent_running","nnu","m4a_total_tone_weight","dchallengerwoman_ai","dchallengerpersonofcolor_ai","dchallengermiliarybackground_ai","d_ideo"
"AK01",47,42,0.456834549402942,0,0,1,0,14.9737505764229,"Yes","No",0,NA,1,0,0,-1.95323851
"AL01",37,35,-2.17130579804898,0,0,0,0,14.3041104069421,"Yes","No",0,NA,0,1,1,-1.589652461
"AL02",38,34,-1.5898059534124,0,0,0,0,14.9464682061801,"Yes","No",0,NA,1,0,0,-1.656788792
"AL03",36,33,-1.06073817314005,0,0,0,0,14.4132101932857,"Yes","No",0,0,1,0,0,-1.28267889
"AL04",20,18,-3.09179200659271,0,0,0,0,14.2985271378084,"Yes","No",0,NA,0,0,0,-0.405618929635
"AL05",39,32,-0.950805139066728,0,0,0,0,14.5657087071477,"Yes","No",0,0,0,0,0,-0.964832715
"AL06",31,27,-1.4429356841677,0,0,0,0,14.2237471153898,"Yes","No",0,NA,0,0,0,-1.234642441
"AR01",30,32,-2.00593373985722,0,0,0,0,13.9610102513961,"Yes","No",0,0.308691381687487,0,1,0,-1.0760690715
"AR02",47,45,-0.214939683319188,0,13.2831514097636,0,0,15.4835109222266,"Yes","No",0,0.147347377220724,0,0,0,-1.82195544
"AR03",34,33,-1.5155069752803,0,0,0,0,14.2062416989871,"Yes","No",0,-0.673737165964104,0,0,0,-0.765551869
"AR04",32,33,-2.33496245950517,0,0,0,0,14.3929460392936,"Yes","No",0,-0.461353505760121,1,0,0,-1.360397901
"AZ01",54,49,0.657865011060687,0,14.2105838577824,0,0,15.2440953676978,"No","Yes",0,NA,0,0,0,-1.49844683
"AZ02",55,53,1.14147103750789,1,0.356445623417079,0,0,15.6169612155601,"No","No",0,0.8890404663378,1,0,0,-1.79979502
"AZ03",64,65,2.22091054810162,0,0,0,0,13.5806825332906,"No","Yes",1,0.951465047350996,0,0,0,-3.07352866
"AZ04",31,29,0.0164715461029198,0,0,0,0,13.9871982837887,"Yes","No",0,-0.00909289366889831,0,0,0,-1.7864158
"AZ05",41,39,-1.3680891720232,0,0,0,0,13.8061134329645,"Yes","No",1,0,1,0,0,-1.615345456
"AZ06",45,45,-1.50393740321032,0,0,1,0,14.5982785691763,"Yes","No",1,0,1,0,0,-2.00494705
"AZ08",45,39,0.77809682835312,0,0,0,0,15.715140230448,"Yes","No",0,0.571203778677834,1,1,0,-2.27036502
