"country_of_residence","inputstate","res_region","res_division","votereg","ND_votereg","inputregstate","reg_region","reg_division","birthyr","age5","state_election_type","primaryvote","partyvote","ENTHUSIM","gnddirect","CHOICE20_MD1_1","CHOICE20_MD1_2","CHOICE20_MD1_3","CHOICE20_MD1_4","CHOICE20_MD1_5","CHOICE20_MD2_1","CHOICE20_MD2_2","CHOICE20_MD2_3","CHOICE20_MD2_4","CHOICE20_MD2_5","CHOICE20_MD3_1","CHOICE20_MD3_2","CHOICE20_MD3_3","CHOICE20_MD3_4","CHOICE20_MD3_5","CHOICE20_MD4_1","CHOICE20_MD4_2","CHOICE20_MD4_3","CHOICE20_MD4_4","CHOICE20_MD4_5","CHOICE20_MD5_1","CHOICE20_MD5_2","CHOICE20_MD5_3","CHOICE20_MD5_4","CHOICE20_MD5_5","CHOICE20_MD6_1","CHOICE20_MD6_2","CHOICE20_MD6_3","CHOICE20_MD6_4","CHOICE20_MD6_5","CHOICE20_MD7_1","CHOICE20_MD7_2","CHOICE20_MD7_3","CHOICE20_MD7_4","CHOICE20_MD7_5","CHOICE20_MD8_1","CHOICE20_MD8_2","CHOICE20_MD8_3","CHOICE20_MD8_4","CHOICE20_MD8_5","CHOICE20_MD9_1","CHOICE20_MD9_2","CHOICE20_MD9_3","CHOICE20_MD9_4","CHOICE20_MD9_5","CHOICE20_MD10_1","CHOICE20_MD10_2","CHOICE20_MD10_3","CHOICE20_MD10_4","CHOICE20_MD10_5","CHOICE20_MD11_1","CHOICE20_MD11_2","CHOICE20_MD11_3","CHOICE20_MD11_4","CHOICE20_MD11_5","CHOICE20_MD12_1","CHOICE20_MD12_2","CHOICE20_MD12_3","CHOICE20_MD12_4","CHOICE20_MD12_5","CHOICE20_MD13_1","CHOICE20_MD13_2","CHOICE20_MD13_3","CHOICE20_MD13_4","CHOICE20_MD13_5","CHOICE20_MD14_1","CHOICE20_MD14_2","CHOICE20_MD14_3","CHOICE20_MD14_4","CHOICE20_MD14_5","CHOICE20_MD15_1","CHOICE20_MD15_2","CHOICE20_MD15_3","CHOICE20_MD15_4","CHOICE20_MD15_5","CHOICE20_MD16_1","CHOICE20_MD16_2","CHOICE20_MD16_3","CHOICE20_MD16_4","CHOICE20_MD16_5","CHOICE20_MD17_1","CHOICE20_MD17_2","CHOICE20_MD17_3","CHOICE20_MD17_4","CHOICE20_MD17_5","cand_allocator_djt_1","cand_allocator_col_1","cand_allocator_wom_1","cand_allocator_yng_1","cand_allocator_m4a_1","cand_allocator_abt_1","cand_allocator_ira_1","cand_allocator_rep_1","cand_allocator_fp_1","cand_allocator_exp_1","cand_allocator_leg_1","cand_allocator_ice_1","cand_allocator_env_1","cand_allocator_min_1","cand_allocator_rur_1","cand_allocator_tax_1","cand_allocator_oil_1","cand_allocator_imp_1","app_dtrmp","turnout16","presvote16post","presvote16post_t","turnout18post","housevote18post","housevote18post_t","pid3","pid3_t","pid7","pid3_condensed","ideo5","ideo3","pp18_polactions_1","pp18_polactions_2","pp18_polactions_3","pp18_polactions_4","pp18_polactions_5","pp18_polactions_6","pp18_polactions_7","pp18_polactions_8","pp18_polactions_t","gender","educ","educ4","educ2","race","race_t","race4","race3","race2","hispanic","anychild","child18","marstat","urbancity","urbancity_t","faminc_new","faminc5","employ","job","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","newsint","religpew","religpew_t","pew_bornagain","pew_churatd","weight"
840,34,1,2,1,,34,1,2,1990,1,2,2,1,7,2,,1,,2,,1,2,,,,2,1,,,,1,,,2,,1,,,2,,,,1,2,,1,,,,2,1,2,,,,,,1,,2,,,1,2,,2,,1,,,,,,1,2,,,1,2,,1,,,2,,,1,2,,,1,,2,,,,,1,2,,0,0,0,1,0,0,0,0,0,0,0,0,11,18,6,0,0,64,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",2,1,3,2,0,0,1,0,1,0,0,0,"__NA__",1,5,3,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",8,3,2,"__NA__",0,0,0,0,0,1,3,11,"__NA__",2,6,3.6352
840,12,3,5,1,,12,3,5,1959,4,2,4,1,5,1,,,1,2,,,,1,2,,,2,1,,,,1,2,,,2,,,1,,,,,2,1,1,,,2,,2,1,,,,,,,2,1,1,,2,,,,,2,1,,1,,2,,,,,1,2,,,,,1,2,,,,2,1,2,,1,,,,2,,,1,0,0,0,0,0,0,45,0,0,0,0,0,55,0,0,0,0,0,1,2,7,"__NA__",2,,"__NA__",1,"__NA__",2,1,3,2,0,0,0,0,0,0,0,1,"__NA__",2,2,1,1,1,"__NA__",1,1,1,2,1,2,3,1,"__NA__",2,1,5,"__NA__",0,0,0,0,1,0,2,2,"__NA__",2,2,0.806
840,48,3,7,1,,48,3,7,1978,2,2,1,1,10,1,,1,,2,,1,,,2,,1,,,,2,,1,,,2,1,,2,,,1,2,,,,1,2,,,,1,,,,2,1,2,,,,2,,1,,,1,,,,2,1,,,,2,1,,,2,,,,2,1,,,,2,1,,1,,,2,,,,1,,2,26,0,0,0,0,0,0,0,0,0,0,18,0,0,12,0,19,25,4,2,7,"__NA__",1,1,"__NA__",1,"__NA__",2,1,3,2,0,0,0,0,0,0,0,1,"__NA__",1,5,3,2,1,"__NA__",1,1,1,2,2,2,1,4,"__NA__",8,3,1,"__NA__",0,0,1,0,0,0,4,9,"__NA__",2,6,0.7549
840,37,3,5,1,,29,2,4,1985,2,2,1,3,10,2,1,,,,2,1,,,2,,,,,2,1,,,,2,1,2,,,,1,1,,2,,,,1,,,2,2,1,,,,2,,,,1,2,,,1,,1,,2,,,2,,,1,,,1,,,2,,2,1,,,,,,2,1,1,,2,,,,,1,,2,0,0,0,0,0,30,0,0,70,0,0,0,0,0,0,0,0,0,2,2,7,"__NA__",2,,"__NA__",5,"__NA__",8,3,6,2,0,0,0,0,0,0,0,1,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,1,3,"__NA__",12,5,1,"__NA__",0,0,0,0,1,0,4,1,"__NA__",1,7,0.7096
840,24,3,5,1,,24,3,5,2000,1,2,2,1,0,6,,,,2,1,1,,,,2,1,,2,,,,1,,2,,,,,1,2,1,,,2,,1,,,2,,1,2,,,,1,2,,,,2,,,,1,1,,,,2,1,,2,,,,,,1,2,1,,,,2,,1,2,,,1,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,4,2,7,"__NA__",2,,"__NA__",1,"__NA__",2,1,6,2,0,0,0,0,0,0,0,1,"__NA__",2,3,2,1,2,"__NA__",2,2,2,2,2,2,5,2,"__NA__",5,2,8,"__NA__",0,0,0,0,1,0,3,2,"__NA__",2,2,0.7159
840,39,2,3,1,,39,2,3,1989,2,2,1,3,8,1,,,1,2,,1,2,,,,,2,,1,,,,,2,1,,1,,2,,,2,,1,,2,,,,1,2,1,,,,,2,,1,,1,,,,2,,,2,1,,2,,,,1,1,,2,,,,,2,,1,1,2,,,,1,,2,,,1,,,,2,5,5,5,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,"__NA__",1,3,"__NA__",3,"__NA__",4,3,5,3,0,0,0,0,0,0,0,1,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,1,1,1,"__NA__",10,4,2,"__NA__",0,0,0,0,1,0,2,11,"__NA__",,2,1.018
840,27,2,4,1,,27,2,4,1989,2,2,4,1,6,3,2,1,,,,1,,,2,,2,1,,,,1,,2,,,,2,1,,,2,1,,,,1,2,,,,,2,1,,,,2,1,,,2,,,1,,1,2,,,,,,2,,1,1,2,,,,1,,,2,,,1,,2,,1,2,,,,1,,,,2,10,0,5,0,0,0,0,5,10,2,0,8,5,0,0,0,50,5,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",2,1,3,2,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",9,3,1,"__NA__",0,0,0,0,1,0,3,12,"__NA__",2,4,0.7646
840,48,3,7,1,,48,3,7,1993,1,2,4,1,7,1,2,,,1,,2,1,,,,2,1,,,,1,,2,,,,,,1,2,2,1,,,,2,,1,,,1,,,,2,1,,2,,,2,,1,,,2,,,,1,,,2,1,,1,,2,,,2,1,,,,,1,,,2,1,,,,2,,,1,2,,6,0,0,0,14,30,0,0,10,0,0,0,30,0,0,0,10,0,4,1,1,"__NA__",1,1,"__NA__",3,"__NA__",3,3,2,1,0,0,0,0,0,1,0,0,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,2,2,6,1,"__NA__",5,2,8,"__NA__",0,0,0,0,1,0,1,9,"__NA__",2,6,0.5994
840,47,3,6,1,,47,3,6,1948,5,2,1,1,10,2,1,2,,,,1,,,,2,,1,,,2,,1,,,2,1,,,2,,1,2,,,,1,,,2,,,,1,2,,1,,2,,,2,1,,,,1,,,,2,1,,,,2,1,,2,,,1,2,,,,,1,2,,,1,,2,,,1,2,,,,60,0,0,0,0,0,0,0,0,10,10,0,15,0,5,0,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,3,2,0,0,0,0,0,1,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",5,2,2,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,6,0.6497
840,18,2,3,1,,18,2,3,1959,4,2,1,1,2,2,,1,,,2,2,1,,,,2,,1,,,,2,,,1,2,,,1,,2,,,1,,2,,1,,,1,2,,,,2,,1,,,,1,,,2,2,,,1,,2,,,1,,2,,1,,,2,1,,,,2,1,,,,1,2,,,,2,1,,,,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,3,1,1,"__NA__",1,2,"__NA__",3,"__NA__",4,3,3,2,0,0,1,0,1,1,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,3,1,"__NA__",6,2,1,"__NA__",0,0,0,0,1,0,1,1,"__NA__",2,2,0.9996
840,6,4,9,1,,6,4,9,1971,3,2,1,1,7,6,1,2,,,,1,,,2,,,,1,,2,1,,,2,,,1,,,2,2,,1,,,1,2,,,,,,,2,1,1,2,,,,2,,,1,,2,1,,,,1,,,2,,2,,,,1,,,1,,2,1,,2,,,1,,,,2,,1,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,3,2,0,0,0,0,1,0,0,0,"__NA__",2,5,3,2,2,"__NA__",2,2,2,2,1,1,1,2,"__NA__",9,3,1,"__NA__",0,0,0,0,1,0,2,1,"__NA__",1,4,1.4883
840,12,3,5,1,,12,3,5,1984,2,2,1,1,9,1,2,1,,,,2,,,1,,2,1,,,,,1,2,,,,,1,2,,,2,,,1,,,1,2,,2,,1,,,,,2,,1,,,2,,1,,,,1,2,2,,,,1,,1,2,,,1,,,2,,1,2,,,,,2,,1,,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,40,15,0,0,45,0,1,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,0,0,1,0,0,0,"__NA__",2,2,1,1,1,"__NA__",1,1,1,2,1,1,1,1,"__NA__",8,3,1,"__NA__",0,0,0,0,1,0,2,2,"__NA__",2,2,0.6844
840,28,3,6,1,,28,3,6,1986,2,2,1,1,7,1,2,,1,,,2,1,,,,2,1,,,,,2,,,1,1,2,,,,2,,,1,,2,,,,1,1,2,,,,2,,1,,,,1,,2,,2,,,1,,2,,1,,,2,1,,,,2,1,,,,,1,,2,,1,2,,,,,1,2,,,0,0,0,0,50,0,0,0,0,0,0,0,25,10,0,15,0,0,4,1,4,"__NA__",1,1,"__NA__",1,"__NA__",2,1,1,1,0,0,0,0,1,0,0,0,"__NA__",2,4,2,1,1,"__NA__",1,1,1,2,1,1,1,4,"__NA__",3,1,7,"__NA__",0,0,0,0,1,0,2,12,"__NA__",2,6,0.9655
840,6,4,9,1,,6,4,9,1986,2,2,1,1,9,6,1,,,,2,1,,,,2,1,2,,,,2,,1,,,1,,2,,,1,2,,,,,,1,,2,1,,,2,,2,1,,,,1,,,,2,1,,,,2,2,,1,,,1,,,2,,,1,2,,,2,,,1,,1,,,,2,,2,1,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,2,1,0,0,0,0,0,0,0,1,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,5,2,"__NA__",5,2,1,"__NA__",0,0,0,0,0,1,2,5,"__NA__",2,5,0.973
840,33,1,1,1,,33,1,1,1980,2,2,1,1,10,2,,1,,2,,,1,,2,,,1,,,2,,1,2,,,1,,,2,,,,1,,2,,1,,,2,2,,1,,,1,,,,2,1,,,,2,,1,,,2,1,,,2,,1,,,2,,,2,1,,,,1,,,2,2,1,,,,1,,,2,,41,4,8,0,0,9,0,6,5,4,3,0,5,0,8,7,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,3,2,1,1,1,1,0,1,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,3,4,"__NA__",6,2,1,"__NA__",0,0,0,0,1,0,1,5,"__NA__",2,4,0.857
840,21,3,6,1,,21,3,6,1986,2,2,1,2,8,6,2,1,,,,,2,1,,,,2,,1,,,,,2,1,,1,,2,,2,,,,1,2,,,1,,,,2,1,,2,,1,,,,2,,,1,2,,1,,,,1,,2,,2,,,,1,2,,,,1,,2,,1,,2,,1,,,,,,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,96,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,5,3,0,0,0,0,0,0,0,1,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,1,1,1,1,"__NA__",9,3,1,"__NA__",0,0,0,0,1,0,2,12,"__NA__",1,4,1.2278
840,36,1,2,1,,36,1,2,1980,2,2,1,1,10,1,1,,,,2,1,,,2,,,1,2,,,,1,,2,,1,,,2,,1,,,2,,1,,,,2,1,,,,2,1,,2,,,1,2,,,,1,,,,2,,,1,2,,1,2,,,,,1,2,,,,1,,,2,1,,,2,,1,,,,2,25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,25,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,2,1,1,0,1,0,1,0,0,0,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,1,1,1,4,"__NA__",9,3,1,"__NA__",0,0,0,0,1,0,1,1,"__NA__",2,6,0.6747
840,48,3,7,1,,48,3,7,1967,3,2,1,2,10,5,,2,,1,,1,2,,,,,2,,1,,1,,2,,,2,,1,,,,,2,1,,1,,2,,,1,,2,,,2,1,,,,,1,2,,,1,2,,,,2,,,1,,,2,,,1,1,2,,,,1,2,,,,2,,,1,,2,1,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2,1,3,"__NA__",1,5,"__NA__",4,"Libertarian",5,3,4,3,0,0,1,0,1,0,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,1,1,2,"__NA__",12,5,1,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,2,0.7886
